fecha,nacional,ciudad_de_mexico
30/09/2013,29.224294729056787,41.74083340576733
31/12/2013,31.425971039955602,34.01104071871392
31/03/2014,27.944853791048562,23.835145829343457
30/06/2014,30.262501605849913,25.867241114699873
30/09/2014,31.268088527568143,42.04180183055987
31/12/2014,32.34234154257403,29.78258117108204
31/03/2015,31.916246154614303,32.48086274648866
30/06/2015,31.216817652961804,28.93439538472084
30/09/2015,31.37185842228029,36.057851295282994
31/12/2015,32.15417713378716,30.937576859327383
31/03/2016,33.16076445732588,17.09115602613763
30/06/2016,34.048819000450216,14.11182695507679
30/09/2016,31.30055960905733,13.584906919291374
31/12/2016,29.448565144266407,11.055219990792866
31/03/2017,30.592993157272293,11.25004490715092
30/06/2017,27.73932298326142,13.369382159412488
30/09/2017,27.303901050498265,9.054575980249979
31/12/2017,27.380615969357248,8.980911101261833
31/03/2018,26.60368256,7.366202189959554
30/06/2018,27.552436595407425,8.277568814769328
30/09/2018,26.490011609139664,17.443789792716892
31/12/2018,28.005955866732172,17.033893518887254
31/03/2019,27.26033366620193,16.195554897435834
30/06/2019,28.279829809269625,15.089284340482681
30/09/2019,29.62975062736134,23.13966249082099
31/12/2019,27.958164854478827,21.127925098529975
31/03/2020,27.002322453168006,22.315115648887303
30/09/2020,33.03241268099997,25.637789038619722
31/12/2020,32.290653286439714,28.150504394098245
31/03/2021,34.063802996659234,28.817053385954733
30/06/2021,33.50344015140625,31.360435583892944
30/09/2021,35.814311842028445,32.728933286190234
31/12/2021,34.152099261327315,33.01729407029475
31/03/2022,33.78546503921773,32.35747208132761
30/06/2022,31.68375290628425,36.12120545867263
30/09/2022,34.50781480296609,39.21081754
31/12/2022,34.439948929595296,39.97853687070465
31/03/2023,36.69479437646519,42.598814962565825
30/06/2023,36.903796740139946,40.200498424563754
30/09/2023,37.60122476924031,42.307941459993806
31/12/2023,39.80564645638419,44.030764692592726